product_num,ctr_product_en_long_desc,average_rating
1422723,"PADERNO Microfiber Kitchen Towel 2 Pack, Red",4.33
1426310,Vida by PADERNO Elite 28cm Stainless Steel Clad Frypan,4.26
1422877,"PADERNO Mini Mitt, Red",3.67
1424892,Paderno Richmond Polished Finish 55-Piece Flatware Set,4.85
1425857,PADERNO Small Mortar & Pestle,4.17
1424978,VIDA by PADERNO 20 Piece Glass Clip Lid Food Storage Set,4.48
1429375,PADERNO 3 Stage Knife Sharpener ,4
1423815,Paderno Classic 20cm Frypan,4.63
1426380,Paderno Sharpening Stone,4
1422714,"PADERNO Microfiber Kitchen Towel 2 Pack, Navy",5
0430763,"Paderno 4 Slice Toaster, 1800W",3.56
1429589,Paderno Jumbo Muffin Pan,4.82
1424782,"PADERNO 4 Pack Basket Weave Dishcloth, Grey",5
1424841,PADERNO Glass Loaf Pan with Lid,4
1422294,Paderno Basting Brush,5
1429698,Vida 3x2Cup Glass Food Storage Set,2.35
1422282,Paderno Horizontal Y Peeler,5
1422966,PADERNO 4 Piece Mini Spoons,4.9
0431026,"Paderno 1.3CU.FT Microwave, Brushed Black",3.9
1425858,PADERNO Glass French Press,3.75
1425571,Paderno Signature 16qt Stock Pot,4.67
1425860,PADERNO Stovetop Espresso Maker,3.1
1422895,"PADERNO Professional 9"" Springform Pan",4.5
1423674,"Paderno West Blade Zester, Medium",2.5
0432735,Paderno Milk Frother,3.74
1424522,PADERNO Classic Non-stick 3 quart Jumbo Cooker,4.46
0430768,Vida Hand Blender,4.51
1423483,PADERNO 6.5 quart Dutch Oven Teal,4.55
1424999,PADERNO Pour Over Kettle,4.29
0435256,"PADERNO 2-Speed Immersion Blender, Black Stainless Steel",4.44
1425088,Vida by Paderno 1.1L,1.83
1422732,"PADERNO Microfiber Dishcloth with Scrubber 4 Pack, Grey",2.33
1429572,Vida Sharpening Steel,4
0850008,VIDA FISH SPATULA,5
1429643,Paderno Folding Splash Guard,4.27
0437011,Vida 4.4 Cu-Ft Matte Blk Fridge,3.8
0850013,VIDA GRILL BASKET,4.25
